Reference area,TIME_PERIOD,life_exp_norm,diff_ends_norm,earnings_norm,disp_income_norm,employment_norm,long_unemp_norm,safe_norm,housing_cost_norm,life_sat_norm,support_norm,reading_norm,L1_phys,L2_safety,L3_belonging,L4_esteem,L5_self_act,wellbeing_index
Finland,2011,0.8239999999999997,0.9259999999999999,0.6394554833333334,0.711825,0.75373,0.8057044743838694,0.7866666666669999,0.45015444462241905,,0.9274860764170001,0.7118950987716003,0.8749999999999998,0.6912560115011037,0.9274860764170001,,0.7118950987716003,
Finland,2012,0.8280000000000001,0.929,0.6402218,0.705875,0.7558499999999999,0.8173820285808681,0.7866666666669999,0.487434511729011,,0.9274860764170001,0.6960866791068001,0.8785000000000001,0.698905001162813,0.9274860764170001,,0.6960866791068001,
Finland,2013,0.8439999999999998,0.931,0.6305178666666666,0.69845,0.75035,0.8082867307589399,0.7866666666669999,0.5160948611127462,0.8045855989799999,0.9274860764170001,0.6992907821859999,0.8875,0.6983943542008921,0.9274860764170001,0.8045855989799999,0.6992907821859999,0.823214338286103
Finland,2014,0.8519999999999999,0.9259999999999999,0.6301693666666666,0.691625,0.74824,0.7782242203726829,0.83,0.5702895530093983,,0.946267995812,0.7024948852652001,0.8889999999999999,0.7080913566747914,0.946267995812,,0.7024948852652001,
Finland,2015,0.8639999999999998,0.9299999999999999,0.6377220166666667,0.703425,0.7471800000000001,0.7338840462836219,0.83,0.6004931780133969,,0.946267995812,0.7056989883443998,0.8969999999999998,0.7087840401606144,0.946267995812,,0.7056989883443998,
Finland,2016,0.86,0.931,0.6462357,0.71595,0.7508,0.7344181536723781,0.83,0.6436868590504501,,0.946267995812,0.6972376564851998,0.8955,0.7201817854538047,0.946267995812,,0.6972376564851998,
Finland,2017,0.8680000000000001,0.933,0.6406216499999999,0.72335,0.7591100000000001,0.7574085988926089,0.866666666667,0.6645532253102338,,0.9510696751819999,0.6887763246260001,0.9005000000000001,0.7352850234783072,0.9510696751819999,,0.6887763246260001,
Finland,2018,0.8719999999999999,0.9390000000000001,0.64782675,0.740625,0.78046,0.8152434822510493,0.866666666667,0.6463887923561706,0.8106844545199999,0.9510696751819999,0.6803149927668001,0.9055,0.74953511521237,0.9510696751819999,0.8106844545199999,0.6803149927668001,0.8462300478032365
Finland,2019,0.8839999999999998,0.9359999999999999,0.6619972000000001,0.76205,0.78935,0.8675792656178472,0.866666666667,0.626158869398124,0.80861312953,0.9510696751819999,0.6504562445750999,0.9099999999999999,0.7623003336138284,0.9510696751819999,0.80861312953,0.6504562445750999,0.848359093549465
Finland,2020,0.88,0.9319999999999999,0.66738585,0.761575,0.78557,0.8674931071218912,0.87,0.6519797954390463,0.8065418045399999,0.967351259488,0.6205974963834001,0.9059999999999999,0.7673339587601563,0.967351259488,0.8065418045399999,0.6205974963834001,0.8488365578431111
Finland,2021,0.8760000000000002,0.941,0.7022064666666666,0.775925,0.7872,0.8046087078044852,0.87,0.6689570835388453,0.80447047955,0.967351259488,0.5907387481917001,0.9085000000000001,0.7681495430016662,0.967351259488,0.80447047955,0.5907387481917001,0.8472781950493525
Finland,2022,0.8480000000000001,0.9390000000000001,0.6684072666666667,0.75365,0.80184,0.8384086446788527,0.87,0.6877605649329315,0.78719903962,0.967351259488,0.5608800000000002,0.8935000000000001,0.7700110793797418,0.967351259488,0.78719903962,0.5608800000000002,0.8380323064969355
