,Reference area,TIME_PERIOD,Adult literacy skills [Points],Average annual gross earnings [ PPP converted],Difficulty making ends meet [Percentage of population aged 16 years or over],Employment rate [Percentage of population aged 25-64 years],Feeling lonely [Percentage of population aged 16 years or over],Feeling safe at night [Percentage of population aged 15 years or over],Having a say in government [Percentage of population aged 16-65 years],Households and NPISHs net adjusted disposable income per capita [ PPP converted],Housing affordability [Percentage of household gross adjusted disposable income],Life expectancy at birth [Years],Life satisfaction [0-10 scale],Long-term unemployment rate [Percentage of labour force],Self-reported depression [Percentage of population aged 15 years or over],Social support [Percentage of population aged 15 years or over],Student reading skills [Points]
686,Norway,2018,,72871.271,6.3,80.813,3.444549481,92.6666666667,,46716.0,82.1044780019,82.8,7.9803644317,0.9844895651,,94.8537053938,499.4509562526
687,Norway,2019,,74180.068,7.1,81.145,,92.6666666667,,47200.0,82.2255726367,83.0,,0.8609090997,6.2,94.8537053938,
688,Norway,2020,,74389.481,6.3,80.449,,92.3333333333,,46844.0,82.3338800288,83.3,,0.8700228138,,94.1929827814,
689,Norway,2021,,76396.354,7.4,81.481,,92.3333333333,44.220359,48384.0,81.7859469328,83.2,7.5,1.0598055936,,94.1929827814,
690,Norway,2022,,75862.057,7.5,82.179,3.1313658675,92.3333333333,,46898.0,81.661969318,82.5,7.7152424816,0.6357249683,,94.1929827814,476.52
691,Norway,2023,282.8027313,75026.67,9.1,81.616,,91.5,34.802345,,,83.1,7.6345566536,0.4917342593,,93.9694495133,
692,Norway,2024,,74863.73,9.8,81.323,,91.5,,,,,7.5915805518,0.6399295806,,93.9694495133,
693,Peru,2004,,,,79.405,,,,,,72.7,,,,,
694,Peru,2005,,,,78.952,,,,,,73.0,,,,,
695,Peru,2006,,,,80.521,,48.0,,,,73.2,,,,80.9292425013,
696,Peru,2007,,,,82.586,,48.0,,,,73.2,,,,80.9292425013,
697,Peru,2008,,,,81.909,,44.6666666667,,,,73.4,,,,78.6623329049,
698,Peru,2009,,,,82.52,,44.6666666667,,,,73.5,,0.0179303256,,78.6623329049,
699,Peru,2010,,,,83.199,,44.6666666667,,,,74.4,,0.0034212431,,78.6623329049,
700,Peru,2011,,,,83.481,,44.0,,,,74.7,,0.0105953518,,76.3680194448,
701,Peru,2012,,,,83.111,,44.0,,,,75.0,,0.0087281538,,76.3680194448,
702,Peru,2013,,,,82.827,,44.0,,,,75.3,,0.0127771032,,76.3680194448,
703,Peru,2014,,,,82.605,,43.0,,,,75.6,,0.0144988016,,80.1038797753,
704,Peru,2015,,,,82.088,,43.0,,,,75.9,,0.0093480676,,80.1038797753,
705,Peru,2016,,,,82.792,,43.0,,,,76.1,,0.0050426883,,80.1038797753,
706,Peru,2017,,,,83.011,,46.0,,,,76.4,,0.0158606749,,82.5321290925,
707,Peru,2018,,,,82.949,,46.0,,,,76.6,,0.0280296542,,82.5321290925,
708,Peru,2019,,,,83.128,,46.0,,,,76.7,,0.0149499913,,82.5321290925,
709,Peru,2020,,,,70.919,,43.0,,,,76.9,,0.0126756836,,78.8462702331,
710,Peru,2021,,,,79.579,,43.0,,,,77.0,,0.0297691477,,78.8462702331,
711,Peru,2022,,,,81.309,,43.0,,,,77.1,,0.003665824,,78.8462702331,
712,Peru,2023,,,,79.826,,44.0,,,,77.2,,,,79.1359486564,
713,Peru,2024,,,,79.865,,44.0,,,,77.4,,,,79.1359486564,
714,Poland,2004,,28287.634,,60.799,,,,18238.0,79.2274181096,74.9,,9.2407046475,,,
715,Poland,2005,,28176.716,51.5,61.712,,,,18458.0,78.3666774116,75.0,,9.4059146882,,,
716,Poland,2006,,28365.129,46.9,63.117,,64.0,,19262.0,78.4184737805,75.3,,7.0784657622,,89.4709268751,507.6395272512
717,Poland,2007,,29294.747,40.2,65.522,,64.0,,20071.0,78.4705065482,75.4,,4.4565518072,,89.4709268751,
718,Poland,2008,,30833.397,35.6,67.487,,61.3333333333,,20850.0,78.3816120575,75.6,,2.0895936571,,91.5959880314,
719,Poland,2009,,30813.827,34.4,67.366,,61.3333333333,,21908.0,77.2790632051,75.9,,2.0853712626,,91.5959880314,500.478482589
720,Poland,2010,,32067.767,34.6,66.819,,61.3333333333,,22804.0,78.4310431144,76.4,,2.4873555111,,91.5959880314,
721,Poland,2011,,32244.936,32.5,67.259,,65.0,,22886.0,78.1617761054,76.8,,3.0833806825,,89.4263930278,
722,Poland,2012,266.9037694,31928.483,34.2,67.45,,65.0,,23150.0,77.9731356363,76.9,,3.5515960549,,89.4263930278,518.1868806808
723,Poland,2013,,32275.745,32.5,67.613,,65.0,,23425.0,78.4721783522,77.1,7.3153997162,3.8168162102,,89.4263930278,
724,Poland,2014,,33012.234,29.7,69.033,,66.3333333333,,24816.0,78.7374876032,77.8,,3.2980120126,5.3,88.7031447145,
725,Poland,2015,,33825.151,29.4,70.306,,66.3333333333,,25594.0,78.3285596432,77.5,,2.9833968954,,88.7031447145,505.6970704146
726,Poland,2016,,35614.62,24.8,71.507,,66.3333333333,,26898.0,79.2305564815,78.0,,2.1838991514,,88.7031447145,
727,Poland,2017,,37071.011,22.1,72.934,,70.6666666667,,27813.0,79.3127522832,77.8,,1.5410739997,,83.9307498522,
728,Poland,2018,,39436.413,18.6,73.974,7.0278510938,70.6666666667,,29036.0,79.8602124374,77.7,7.7310183875,1.0498791802,,83.9307498522,511.8556953894
729,Poland,2019,,41872.122,15.7,74.951,,70.6666666667,,30467.0,80.0150369903,78.0,,0.7026357157,5.0,83.9307498522,
730,Poland,2020,,42609.587,15.9,75.884,,70.6666666667,,32442.0,80.5573117889,76.4,,0.6331272371,,90.6514684843,
731,Poland,2021,,42383.302,13.7,77.908,,70.6666666667,,32228.0,79.2900396438,75.4,7.5421897616,0.9083249481,,90.6514684843,
732,Poland,2022,,40538.726,15.3,79.069,5.1298661617,70.6666666667,,31732.0,78.682078498,77.2,7.6642820518,0.8733439115,,90.6514684843,488.71
733,Poland,2023,235.7071742,41577.518,15.1,80.135,,67.0,,32249.0,78.9683100628,78.4,7.6173374355,0.76819524,,88.0135482391,
734,Poland,2024,,44210.61,11.5,80.503,,67.0,,,,,7.6150752664,0.7979932011,,88.0135482391,
735,Portugal,2004,,37371.102,35.6,74.837,,,,29001.0,84.3499926076,78.4,,3.1110586549,,,
736,Portugal,2005,,37166.811,36.8,74.484,,,,29171.0,83.9692033855,78.2,,3.8741210164,,,
737,Portugal,2006,,36360.178,36.8,74.754,,64.0,,28963.0,83.6303074122,79.0,,4.0943032694,,89.6887295719,472.3043050432
738,Portugal,2007,,36602.684,37.5,74.603,,,,29249.0,83.2340851713,79.3,,3.9849305844,,,
739,Portugal,2008,,36480.541,46.7,74.979,,62.6666666667,,29505.0,82.9592267653,79.5,,3.7882233404,,85.4622780213,
740,Portugal,2009,,37908.795,46.1,73.167,,62.6666666667,,30271.0,82.8922410895,79.7,,4.7102248283,,85.4622780213,489.3349238432
741,Portugal,2010,,37767.447,44.9,72.656,,62.6666666667,,30078.0,82.204184014,80.1,,6.383127185,,85.4622780213,
742,Portugal,2011,,36895.314,41.8,68.715,,63.3333333333,,28802.0,81.5852243299,80.7,,6.976668221,,84.5661174983,
743,Portugal,2012,,35275.049,40.5,66.469,,63.3333333333,,27755.0,80.7092895267,80.6,,8.5015130339,,84.5661174983,487.7576873469
744,Portugal,2013,,35943.669,46.9,66.003,,63.3333333333,,27434.0,80.3079943475,80.9,6.1537453485,10.4188014924,,84.5661174983,
745,Portugal,2014,,35355.799,43.7,68.723,,72.0,,27316.0,79.4813932609,81.3,,9.2257058557,10.1,86.5324113268,
746,Portugal,2015,,35271.283,40.4,70.575,,72.0,,28251.0,79.8251596713,81.3,,8.0354663213,,86.5324113268,498.1289056272
747,Portugal,2016,,35282.081,36.7,72.121,,72.0,,28839.0,80.1006384481,81.3,,7.0689712883,,86.5324113268,
748,Portugal,2017,,35428.086,33.6,75.018,,79.3333333333,,29080.0,80.3115045227,81.6,,5.1288738871,,88.3470438073,
749,Portugal,2018,,36005.681,29.2,77.202,8.850271555,79.3333333333,,29861.0,80.5291165607,81.5,6.6892248894,3.5714898783,,88.3470438073,491.8007851482
750,Portugal,2019,,37404.247,25.8,78.031,,79.3333333333,,30877.0,80.7683139507,81.9,,3.2796325213,8.4,88.3470438073,
751,Portugal,2020,,37661.36,20.7,77.156,,82.0,,30209.0,80.1442472073,81.5,,2.5927215329,,87.2113910813,
752,Portugal,2021,,38404.49,20.9,78.853,,82.0,28.745499,31345.0,80.9963815719,81.5,6.9802413011,3.0939537774,,87.2113910813,
753,Portugal,2022,,37961.497,23.3,80.426,8.1364832607,82.0,,31681.0,81.2445985561,81.8,6.9661353879,3.0341153363,,87.2113910813,476.59
754,Portugal,2023,,38958.113,23.6,81.018,,80.5,24.047249,32153.0,81.9609828711,82.5,7.0631781497,2.6593823232,,88.2337907429,
755,Portugal,2024,,40002.449,21.8,81.578,,80.5,,34165.0,82.4066813813,,7.2557314635,2.5775494954,,88.2337907429,
756,Romania,2004,,,,66.197,,,,10404.0,76.3578167151,71.4,,4.9867790024,,,
757,Romania,2005,,,,66.879,,,,11462.0,77.22411131,71.9,,4.2374506572,,,
758,Romania,2006,,,,68.379,,60.5,,13037.0,78.283416642,72.5,,4.3407138788,,77.5236977986,
759,Romania,2007,,,50.5,68.054,,60.5,,12232.0,71.3334943802,73.1,,3.3777172159,,77.5236977986,
760,Romania,2008,,,47.6,68.079,,,,14306.0,73.6318362144,73.5,,2.5117134477,,,
761,Romania,2009,,,48.6,67.327,,52.5,,13514.0,70.8396495511,73.7,,2.5306571566,,72.5612832884,
762,Romania,2010,,,49.0,68.181,,52.5,,13554.0,73.9514705158,73.7,,2.5117518905,,72.5612832884,
763,Romania,2011,,,48.9,67.204,,56.3333333333,,13726.0,72.7755050377,74.4,,3.0739393351,,73.4558061734,
764,Romania,2012,,,50.0,68.107,,56.3333333333,,13822.0,74.0339239549,74.4,,3.1320077295,,73.4558061734,
765,Romania,2013,,,51.0,67.847,,56.3333333333,,13656.0,77.1701944172,75.1,7.133232048,3.3384306715,,73.4558061734,
766,Romania,2014,,,48.5,68.77,,56.3333333333,,13918.0,75.992408435,75.0,,2.9080121492,4.6,77.1925937576,
767,Romania,2015,,,45.6,68.644,,56.3333333333,,14865.0,74.9958186098,74.9,,3.0901059464,,77.1925937576,
768,Romania,2016,,,44.1,69.245,,56.3333333333,,16065.0,76.3054920237,75.2,,3.0464541076,,77.1925937576,
769,Romania,2017,,,37.4,71.538,,63.6666666667,,18131.0,75.6189249309,75.2,,2.1098640977,,81.4992707409,
770,Romania,2018,,,36.0,72.623,9.3300033291,63.6666666667,,18750.0,75.834880222,75.3,7.3465985946,1.9150863521,,81.4992707409,
771,Romania,2019,,,32.0,73.759,,63.6666666667,,21547.0,77.4460009976,75.6,,1.7110895296,4.1,81.4992707409,
772,Romania,2020,,,35.9,73.522,,67.3333333333,,21470.0,77.8179793996,74.2,,1.5455656031,,83.512942715,
773,Romania,2021,,,29.0,69.833,,67.3333333333,,22248.0,76.8740143143,72.8,7.6936007857,2.0573461964,,83.512942715,
774,Romania,2022,,,26.0,71.724,8.0619579591,67.3333333333,,22418.0,75.3270739586,75.1,7.6600869926,2.1730404212,,83.512942715,
775,Romania,2023,,,27.7,71.867,,66.0,,23092.0,,76.4,7.7346323615,2.16429126,,80.7845234596,
776,Romania,2024,,,23.8,72.827,,66.0,,25669.0,,,7.7269573848,1.8215250078,,80.7845234596,
777,Slovak Republic,2004,,23539.214,,66.279,,,,16891.0,68.5145622312,74.2,,11.0049582922,,,
778,Slovak Republic,2005,,24984.059,30.5,67.244,,,,17436.0,69.1867387751,74.1,,11.0284950729,,,
779,Slovak Republic,2006,,25845.462,34.9,68.987,,47.0,,18251.0,68.5257336785,74.5,,9.7461813089,,93.3045389041,466.3497688372
780,Slovak Republic,2007,,27434.759,30.6,69.982,,,,20015.0,69.1372924296,74.6,,7.8183522256,,,
781,Slovak Republic,2008,,27714.633,35.0,72.106,,,,21326.0,68.9401239992,74.9,,6.334755006,,,
782,Slovak Republic,2009,,28660.257,31.6,69.985,,,,21655.0,69.8134749544,75.3,,6.1565675777,,,477.4433524999
783,Slovak Republic,2010,,29920.694,31.9,68.434,,49.0,,22169.0,70.4178204464,75.6,,8.5489082674,,89.59853135,
784,Slovak Republic,2011,,29656.066,30.4,68.768,,57.3333333333,,21611.0,69.8071090092,76.1,,8.7410975263,,88.9289947911,
785,Slovak Republic,2012,273.8456011,29283.472,33.5,68.849,,57.3333333333,,21476.0,70.2286465428,76.3,,8.9208557321,,88.9289947911,462.7670326303
786,Slovak Republic,2013,,29511.472,36.6,68.672,,57.3333333333,,21403.0,70.6256247352,76.6,6.9514383993,9.4949452785,,88.9289947911,
787,Slovak Republic,2014,,30100.992,33.9,69.397,,60.0,,21913.0,70.2945068639,77.0,,8.825727124,3.4,91.479696928,
788,Slovak Republic,2015,,31285.978,32.7,70.904,,60.0,,23081.0,71.7374219479,76.7,,7.1856393181,,91.479696928,452.5143368769
789,Slovak Republic,2016,,32277.78,29.6,72.815,,60.0,,23714.0,71.6212415408,77.3,,5.4931695609,,91.479696928,
790,Slovak Republic,2017,,33232.174,26.2,73.751,,65.6666666667,,24432.0,72.3356950919,77.3,,4.8200341193,,89.9163150938,
791,Slovak Republic,2018,,34174.491,25.4,75.041,4.2862762391,65.6666666667,,26158.0,73.5588684588,77.4,7.0670017874,3.8363308468,,89.9163150938,457.9839669915
792,Slovak Republic,2019,,35290.917,28.3,76.248,,65.6666666667,,26939.0,73.5387106083,77.8,,3.2079004019,3.1,89.9163150938,
793,Slovak Republic,2020,,35748.465,28.7,75.463,,72.6666666667,,27372.0,73.0262750555,77.0,,3.0474951416,,94.8975907718,
794,Slovak Republic,2021,,36557.14,26.6,78.024,,72.6666666667,,28292.0,72.9879639639,74.6,7.127231716,3.9137888453,,94.8975907718,
795,Slovak Republic,2022,,34643.779,27.7,80.04,4.1864442727,72.6666666667,,27985.0,71.5914810008,77.0,7.0444166963,4.1358330045,,94.8975907718,446.86
796,Slovak Republic,2023,254.36808,34562.22,30.3,80.709,,67.5,20.086377,27823.0,72.8820507299,78.2,7.2861273274,3.8704052449,,93.5706009141,
797,Slovak Republic,2024,,36105.364,28.7,81.324,,67.5,,28344.0,73.0559509443,,7.2987172383,3.5303079746,,93.5706009141,
798,Slovenia,2004,,42724.569,,72.982,,,,23214.0,81.5205425569,77.2,,3.3171057283,,,
799,Slovenia,2005,,44283.773,27.2,73.451,,,,24214.0,81.4226529658,77.5,,3.1556561413,,,
800,Slovenia,2006,,45668.196,24.3,73.772,,79.0,,24803.0,81.4399428967,78.3,,3.0026340056,,92.9882769204,494.4090368826
801,Slovenia,2007,,46661.884,20.2,74.441,,,,25641.0,81.3061230527,78.4,,2.2654195961,,,
802,Slovenia,2008,,47434.116,26.1,75.169,,,,26216.0,81.4853941566,79.1,,1.8822407,,,
803,Slovenia,2009,,47897.977,25.7,74.328,,81.0,,25845.0,80.7562632176,79.4,,1.8062003245,,90.7636915622,483.0820421596
804,Slovenia,2010,,49258.775,28.6,72.712,,81.0,,25635.0,79.7926066204,79.8,,3.2100434061,,90.7636915622,
805,Slovenia,2011,,49094.396,29.5,70.846,,83.3333333333,,25601.0,79.940964494,80.1,,3.6874299924,,92.1647438201,
806,Slovenia,2012,,47523.031,28.5,70.969,,83.3333333333,,24572.0,79.7382451519,80.3,,4.3076462905,,92.1647438201,481.3162835153
807,Slovenia,2013,,46973.509,33.1,69.985,,83.3333333333,,24104.0,80.1544129372,80.5,6.9515327869,5.2413537785,,92.1647438201,
808,Slovenia,2014,256.38674,47812.342,30.6,70.398,,85.0,,24280.0,80.39994007,81.2,,5.3965286773,5.5,90.5177601254,
809,Slovenia,2015,,48736.662,28.7,71.383,,85.0,,24871.0,80.8201633433,80.9,,4.7629104497,,90.5177601254,505.2158805735
810,Slovenia,2016,,50550.525,25.9,72.232,,85.0,,25971.0,80.9045041,81.2,,4.3166677224,,90.5177601254,
811,Slovenia,2017,,51713.13,22.6,75.118,,89.3333333333,,26797.0,81.3721454713,81.2,,3.1634885357,,93.632946031,
812,Slovenia,2018,,52643.212,20.5,77.187,4.4448734943,89.3333333333,,27838.0,81.7763699451,81.5,7.248027727,2.2329200167,,93.632946031,495.3456151607
813,Slovenia,2019,,54122.774,17.4,78.381,,89.3333333333,,28973.0,81.877092392,81.6,,1.9340992213,7.5,93.632946031,
814,Slovenia,2020,,55726.116,17.0,78.289,,90.0,,30194.0,82.6595978418,80.6,,1.9534238017,,94.7545209559,
815,Slovenia,2021,,58106.435,11.5,78.985,,90.0,,31425.0,82.6835245632,80.7,7.6296672546,1.8713680251,,94.7545209559,
816,Slovenia,2022,,55930.334,14.2,80.587,3.857592094,90.0,,31535.0,82.2837944037,81.3,7.5836058625,1.5624345906,,94.7545209559,468.54
817,Slovenia,2023,,58531.994,14.5,79.755,,87.5,14.801634,31599.0,83.2008475339,82.0,7.7353877821,1.3600859642,,93.4415068753,
818,Slovenia,2024,,61776.28,13.6,80.547,,87.5,,,,,7.6741310058,1.1057947246,,93.4415068753,
819,South Africa,2004,,,,55.09,,,,,,54.0,,6.1061151355,,,
820,South Africa,2005,,,,57.065,,,,,,53.9,,5.4729739191,,,
821,South Africa,2006,,,,58.759,,36.5,,,,54.2,,4.8656745304,,84.2582575674,
822,South Africa,2007,,,,58.18,,36.5,,,,54.9,,4.9181864846,,84.2582575674,
823,South Africa,2008,,,,58.818,,22.3333333333,,,,56.0,,6.6208673049,,86.5907131266,
824,South Africa,2009,,,,56.686,,22.3333333333,,,,57.4,,7.1422753838,,86.5907131266,
825,South Africa,2010,,,,54.392,,22.3333333333,,,,58.9,,8.2264550554,,86.5907131266,
826,South Africa,2011,,,,54.403,,31.6666666667,,,,60.6,,8.3965672117,,86.7077237368,
827,South Africa,2012,,,,54.822,,31.6666666667,,,,61.7,,8.3512832408,,86.7077237368,
828,South Africa,2013,,,,55.264,,31.6666666667,,,,62.4,,8.3938251749,,86.7077237368,
829,South Africa,2014,,,,55.195,,36.0,,,,63.2,,8.9071403181,,88.2521535509,
830,South Africa,2015,,,,55.834,,36.0,,,,64.1,,8.8284877942,,88.2521535509,
831,South Africa,2016,,,,55.046,,36.0,,,,64.7,,9.4910383747,,88.2521535509,
832,South Africa,2017,,,,55.149,,30.3333333333,,,,65.4,,10.1930283757,,85.1477017473,
833,South Africa,2018,,,,54.971,,30.3333333333,,,,65.7,,10.0990836875,,85.1477017473,
834,South Africa,2019,,,,53.92,,30.3333333333,,,,66.1,,11.376981473,,85.1477017473,
835,South Africa,2020,,,,49.211,,36.3333333333,,,,65.2,,10.9320343402,,89.707059554,
836,South Africa,2021,,,,47.253,,36.3333333333,,,,62.0,,14.392256524,,89.707059554,
837,South Africa,2022,,,,48.393,,36.3333333333,,,,65.5,,12.8997485656,,89.707059554,
838,South Africa,2023,,,,50.363,,31.5,,,,66.1,,12.5253017841,,81.6777544272,
839,South Africa,2024,,,,50.683,,31.5,,,,,,12.6791648688,,81.6777544272,
840,Spain,2004,,50971.497,29.5,67.099,,,,33907.0,81.8799798886,80.4,,3.5100863643,,,
841,Spain,2005,,51191.285,27.8,68.916,,,,34502.0,81.4034109893,80.3,,2.2428659536,,,
842,Spain,2006,,50946.93,30.9,70.242,,64.5,,34785.0,80.5672602057,81.1,,1.8393892681,,95.1787272546,460.8301120718
843,Spain,2007,,51498.848,28.0,71.081,,64.5,,34868.0,79.9223481827,81.1,,1.6877297405,,95.1787272546,
844,Spain,2008,,53318.729,31.9,69.974,,65.3333333333,,35061.0,79.8223140546,81.5,,2.035859851,,93.2760440053,
845,Spain,2009,,56675.193,34.0,65.929,,65.3333333333,,35162.0,79.2846136807,81.9,,4.2756750679,,93.2760440053,481.0423259879
846,Spain,2010,,56137.603,33.8,64.986,,65.3333333333,,34587.0,78.4302358721,82.4,,7.3138989478,,93.2760440053,
847,Spain,2011,,55135.424,29.0,64.372,,73.6666666667,,34017.0,77.9543005453,82.6,,8.9501733329,,93.1177734682,
848,Spain,2012,251.7898349,53590.706,34.7,62.231,,73.6666666667,,31784.0,76.6325735824,82.5,,11.063375361,,93.1177734682,487.9391815852
849,Spain,2013,,53598.418,38.8,61.31,,73.6666666667,,31480.0,76.5145005094,83.2,6.8805823872,13.0270120227,,93.1177734682,
850,Spain,2014,,53430.788,39.1,62.661,,83.3333333333,,31559.0,76.5885329703,83.3,,12.9815403076,6.7,94.7827313344,
851,Spain,2015,,54228.251,35.2,64.642,,83.3333333333,,32879.0,77.4075256084,83.0,,11.4457899111,,94.7827313344,495.5764353006
852,Spain,2016,,53926.995,35.6,66.604,,83.3333333333,,33625.0,77.6408435904,83.5,,9.5502113507,,94.7827313344,
853,Spain,2017,,53224.488,25.1,68.097,,81.3333333333,,34112.0,77.6698621755,83.4,,7.7083398867,,91.6868047278,
854,Spain,2018,,53084.228,27.1,69.522,4.5251576063,81.3333333333,,34536.0,77.8231713934,83.5,7.3293713044,6.4025179992,,91.6868047278,
855,Spain,2019,,53700.459,22.0,70.609,,81.3333333333,,35533.0,78.5466472476,84.0,,5.3688895787,4.8,91.6868047278,
856,Spain,2020,,53463.182,22.8,68.663,,80.3333333333,,34875.0,79.0888885992,82.3,,5.0202611796,,93.1459859007,
857,Spain,2021,,55356.659,21.6,70.294,,80.3333333333,,35908.0,78.7785042521,83.3,7.1921043699,6.2744124292,,93.1459859007,
858,Spain,2022,,53954.498,22.1,72.001,5.4010666884,80.3333333333,,35108.0,78.6297342333,83.2,7.1268416488,5.1314062902,,93.1459859007,474.31
859,Spain,2023,248.9407031,54459.604,22.6,73.338,,81.5,30.980853,36537.0,80.1848418285,84.0,7.2269001128,4.2932275096,,92.1724430822,
860,Spain,2024,,54564.408,21.9,74.174,,81.5,,,,,7.1825148781,3.8168332637,,92.1724430822,
861,Sweden,2004,,47711.077,10.3,79.653,,,,33025.0,77.7594934347,80.7,,1.2322638942,,,
862,Sweden,2005,,48903.574,8.5,80.321,,,,33744.0,77.7855346636,80.7,,,,,
863,Sweden,2006,,50273.23,8.3,80.921,,71.0,,34935.0,78.2243881704,81.0,,,,92.7643960522,507.312880171
864,Sweden,2007,,51961.973,7.6,82.02,,71.0,,36236.0,78.5949787868,81.1,,0.7533419084,,92.7643960522,
865,Sweden,2008,,52957.345,9.9,82.382,,71.0,,36933.0,78.9281005656,81.3,,0.7191247202,,92.0447340512,
866,Sweden,2009,,53136.007,8.8,80.866,,71.0,,37323.0,78.8159034966,81.5,,1.0304831282,,92.0447340512,497.4494233373
867,Sweden,2010,,53787.945,8.3,80.719,,71.0,,37933.0,78.7046984136,81.6,,1.4095170424,,92.0447340512,
868,Sweden,2011,,54613.811,9.5,81.971,,79.0,,38655.0,79.2292327862,81.9,,1.3327921619,,91.1209847234,
869,Sweden,2012,279.2308439,55767.103,8.4,82.314,,79.0,,39566.0,79.9523091991,81.8,,1.2931661745,,91.1209847234,483.3350056803
870,Sweden,2013,,56389.216,7.7,82.626,,79.0,,39850.0,80.0686061168,82.0,7.9074822893,1.2506608816,,91.1209847234,
871,Sweden,2014,,57017.496,7.9,82.769,,76.0,,40228.0,80.1337537448,82.3,,1.2144491946,9.2,91.8442617845,
872,Sweden,2015,,57866.957,7.1,83.11,,76.0,,40794.0,80.1495086697,82.2,,1.1642953257,,91.8442617845,500.1556065967
873,Sweden,2016,,58772.062,7.6,83.591,,76.0,,41798.0,80.3930357671,82.4,,1.0640580628,,91.8442617845,
874,Sweden,2017,,59097.301,7.0,84.133,,76.3333333333,,41842.0,80.362757743,82.5,,0.9961086811,,92.2745474807,
875,Sweden,2018,,59392.321,8.0,84.686,5.6647087812,76.3333333333,,41831.0,80.1760558439,82.6,7.7965667544,0.8085158237,,92.2745474807,505.7852204846
876,Sweden,2019,,60019.439,7.6,84.46,,76.3333333333,,42069.0,80.2115925562,83.2,,0.7501319884,10.5,92.2745474807,
877,Sweden,2020,,60782.828,7.4,83.326,,80.6666666667,,41323.0,79.7042212412,82.4,,0.9004638433,,93.8173603759,
878,Sweden,2021,,62240.011,7.4,82.641,,80.6666666667,22.904449,42765.0,79.5403392335,83.1,7.5945220982,1.4469323159,,93.8173603759,
879,Sweden,2022,,60566.698,7.2,84.12,7.8501351509,80.6666666667,,42704.0,80.1453286265,83.1,7.5102990697,1.5305434664,,93.8173603759,486.98
880,Sweden,2023,284.0827153,59058.071,9.3,84.661,,80.0,29.922036,42089.0,81.0570033636,83.4,7.46415539,1.3170930931,,92.1421392541,
881,Sweden,2024,,60415.321,9.9,84.235,,80.0,,42260.0,,,7.4497328467,1.3757613565,,92.1421392541,
882,Switzerland,2004,,76996.722,,80.644,,,,41665.0,78.5488244578,81.3,,1.4542994101,,,
883,Switzerland,2005,,78204.109,,80.833,,,,42509.0,78.6526378913,81.5,,1.7339892309,,,
884,Switzerland,2006,,78428.306,,81.019,,77.0,,43636.0,78.9349412157,81.8,,1.564633938,,94.1934326462,499.2777837981
885,Switzerland,2007,,79355.894,8.1,81.976,,,,44904.0,79.3316550916,82.0,8.22,1.4908280969,,,
886,Switzerland,2008,,79783.509,8.567,83.133,,,,44985.0,78.9071004066,82.3,8.128,1.1496931142,,,
887,Switzerland,2009,,81197.456,11.641,82.72,,76.0,,45257.0,79.1291999652,82.3,8.143,1.2515382908,,93.1581726269,500.5002117458
888,Switzerland,2010,,80823.349,11.311,80.43,,,,45676.0,78.8504830485,82.7,8.152,1.726881543,,,
889,Switzerland,2011,,81342.649,12.829,81.525,,,,45817.0,78.8010526628,82.8,8.151,1.7753509702,,,
890,Switzerland,2012,,82526.691,11.966,81.96,,78.0,,46491.0,78.8401802763,82.8,8.201,1.6601005131,,94.3941854256,509.0402497128
891,Switzerland,2013,,83599.467,11.876,81.761,,,,47206.0,79.0305431914,82.9,8.047416135,1.6127863326,,,
892,Switzerland,2014,,83762.274,12.3,82.172,,83.6666666667,,47426.0,79.1118992872,83.3,8.018,1.8863823553,,93.994890079,
893,Switzerland,2015,,84264.574,11.2,82.741,,83.6666666667,,47635.0,78.9285266498,83.0,7.949,1.9103128973,,93.994890079,492.1982285839
894,Switzerland,2016,,83965.905,12.7,82.997,,83.6666666667,,47842.0,78.8141296282,83.7,7.953,1.9650692376,,93.994890079,
895,Switzerland,2017,,83569.001,12.0,83.008,,87.3333333333,,47219.0,78.6300484442,83.7,7.961845982,1.8373156949,,93.606401065,
896,Switzerland,2018,,83328.535,12.0,83.431,4.0682019164,87.3333333333,,47192.0,78.5607439,83.8,7.963366268,1.8922741629,,93.606401065,483.9294051739
897,Switzerland,2019,,84911.132,12.2,84.102,,87.3333333333,,47798.0,78.5773319116,84.0,8.025741548,1.6809811218,,93.606401065,
898,Switzerland,2020,,83154.689,10.9,83.734,,86.3333333333,,49115.0,79.0480361328,83.1,8.078755342,1.6813589643,,91.9178578661,
899,Switzerland,2021,,86386.832,9.5,83.111,,86.3333333333,,48967.0,78.5535769252,83.9,7.894695279,2.1419111452,,91.9178578661,
900,Switzerland,2022,,87339.04,10.0,83.447,4.044681985,86.3333333333,,49209.0,78.8792894261,83.7,7.9759560666,1.694775167,,91.9178578661,483.33
901,Switzerland,2023,,86535.328,9.9,84.134,,87.5,58.172908,48940.0,,84.3,7.8221484851,1.2707705541,,91.2504634678,
902,Switzerland,2024,,87468.235,,84.013,,87.5,,,,,,,,91.2504634678,
903,Thailand,2004,,,,,,,,,,72.1,,,,,
904,Thailand,2005,,,,,,,,,,72.9,,,,,
905,Thailand,2006,,,,,,68.5,,,,73.3,,,,88.5750039022,
906,Thailand,2007,,,,,,68.5,,,,73.8,,,,88.5750039022,
907,Thailand,2008,,,,,,65.3333333333,,,,74.2,,,,86.7970568118,
908,Thailand,2009,,,,,,65.3333333333,,,,74.7,,,,86.7970568118,
