Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Estonia,78.9673472842,79.075148107,81.6620792631,81.6425403895,80.6746560142,80.984859567,79.2381270844,79.4348850723,79.3235679964,79.6691216486,79.5785255303,79.6995865457,80.5886247161,80.3555593543,80.9052901558,80.1363599366,76.9387297518,76.471093314,
Finland,79.016606686,79.2898632651,79.4511678101,79.3983960223,79.0033131859,78.8000275065,78.4570819738,78.1934306569,77.6948846798,77.417036514,77.019690664,76.8277374931,76.9948351305,77.1809335537,76.943402564,76.7872256694,76.6142493192,78.0123059174,78.6974905997
France,79.0770323479,79.2373281936,79.149890696,79.0240629273,78.9167136537,78.8952863338,78.4670463209,77.9729637258,78.1595844612,78.0231878818,78.0381076788,78.2860070005,78.3287618872,78.4674713151,78.5550956441,78.672009252,79.0985493266,79.6755652156,
Germany,79.4211134142,79.7272340266,79.4206183268,79.3721532476,79.2612278464,79.4310286333,79.1804516078,79.0653373679,79.5890018655,79.9306524114,80.186362573,80.4590022314,80.81934715,80.8127106722,80.5586462774,80.6561742285,81.1060464869,81.3842148075,81.9164618874
Greece,81.424759679,81.4796411131,80.5114387103,80.3924081189,78.778327424,76.1980447504,74.8727029183,75.0187746593,76.7391486039,76.4713549766,76.324153864,76.4124257163,76.2457426987,76.8167186071,75.2878750429,75.8108944648,74.9835595411,76.3264051135,
Hungary,80.9669030651,80.3396581517,79.6970862968,78.9247890591,77.8611728782,78.8888151539,79.0680334218,80.2300530379,81.2504334087,81.1082129573,80.8862328809,81.0873723577,81.2092139437,80.7888377969,80.2562016517,80.7623885454,80.1669308945,81.756776889,
Ireland,80.5696964439,79.8421414237,79.9260951286,81.8645798349,81.8929868295,81.588496385,81.4427055176,80.7626301257,80.1190562409,79.7536489488,80.0297360258,79.9553294371,79.2559512667,79.8432894569,81.1209543036,80.6380757912,79.0205511628,79.6072645595,
Italy,79.8059956956,79.7546000954,79.2677222992,78.5824947788,77.9224083868,77.7940465187,76.8539283608,76.6675817546,76.9393406849,76.7492136338,76.9425483872,77.1074225844,77.0677663153,77.0088300102,77.1706580552,77.268420099,76.406078987,77.4318932212,
Japan,78.4760386249,78.488862573,78.0276269718,77.9956871598,77.793123615,77.8945380564,77.7521315638,77.4090005213,77.2907587859,78.0882864343,78.6116222638,78.6341750082,78.7648986034,79.2391019619,79.9139741146,79.2684823087,78.9997153036,79.0786166133,
Korea,81.8121490314,82.3554806685,82.972406649,83.2372861936,83.263805208,83.3387362718,83.314552706,83.3686927289,83.6775339813,84.3160020631,84.2461253643,84.1978489591,84.2765313809,84.6511340639,84.6107436202,84.7431137031,85.0121293534,,
