Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
New Zealand,95.5516369889,95.5516369889,95.6195232847,,95.6195232847,94.4596816058,94.4596816058,94.4596816058,95.3961400923,95.3961400923,95.3961400923,94.5086496191,94.5086496191,94.5086496191,95.2381826177,95.2381826177,95.2381826177,92.4603485316,92.4603485316
Norway,94.3880486023,,93.0990821762,,,,92.8064346557,,94.1192049359,94.1192049359,94.1192049359,94.8537053938,94.8537053938,94.8537053938,94.1929827814,94.1929827814,94.1929827814,93.9694495133,93.9694495133
Peru,80.9292425013,80.9292425013,78.6623329049,78.6623329049,78.6623329049,76.3680194448,76.3680194448,76.3680194448,80.1038797753,80.1038797753,80.1038797753,82.5321290925,82.5321290925,82.5321290925,78.8462702331,78.8462702331,78.8462702331,79.1359486564,79.1359486564
Poland,89.4709268751,89.4709268751,91.5959880314,91.5959880314,91.5959880314,89.4263930278,89.4263930278,89.4263930278,88.7031447145,88.7031447145,88.7031447145,83.9307498522,83.9307498522,83.9307498522,90.6514684843,90.6514684843,90.6514684843,88.0135482391,88.0135482391
Portugal,89.6887295719,,85.4622780213,85.4622780213,85.4622780213,84.5661174983,84.5661174983,84.5661174983,86.5324113268,86.5324113268,86.5324113268,88.3470438073,88.3470438073,88.3470438073,87.2113910813,87.2113910813,87.2113910813,88.2337907429,88.2337907429
Romania,77.5236977986,77.5236977986,,72.5612832884,72.5612832884,73.4558061734,73.4558061734,73.4558061734,77.1925937576,77.1925937576,77.1925937576,81.4992707409,81.4992707409,81.4992707409,83.512942715,83.512942715,83.512942715,80.7845234596,80.7845234596
Slovak Republic,93.3045389041,,,,89.59853135,88.9289947911,88.9289947911,88.9289947911,91.479696928,91.479696928,91.479696928,89.9163150938,89.9163150938,89.9163150938,94.8975907718,94.8975907718,94.8975907718,93.5706009141,93.5706009141
Slovenia,92.9882769204,,,90.7636915622,90.7636915622,92.1647438201,92.1647438201,92.1647438201,90.5177601254,90.5177601254,90.5177601254,93.632946031,93.632946031,93.632946031,94.7545209559,94.7545209559,94.7545209559,93.4415068753,93.4415068753
South Africa,84.2582575674,84.2582575674,86.5907131266,86.5907131266,86.5907131266,86.7077237368,86.7077237368,86.7077237368,88.2521535509,88.2521535509,88.2521535509,85.1477017473,85.1477017473,85.1477017473,89.707059554,89.707059554,89.707059554,81.6777544272,81.6777544272
Spain,95.1787272546,95.1787272546,93.2760440053,93.2760440053,93.2760440053,93.1177734682,93.1177734682,93.1177734682,94.7827313344,94.7827313344,94.7827313344,91.6868047278,91.6868047278,91.6868047278,93.1459859007,93.1459859007,93.1459859007,92.1724430822,92.1724430822
Sweden,92.7643960522,92.7643960522,92.0447340512,92.0447340512,92.0447340512,91.1209847234,91.1209847234,91.1209847234,91.8442617845,91.8442617845,91.8442617845,92.2745474807,92.2745474807,92.2745474807,93.8173603759,93.8173603759,93.8173603759,92.1421392541,92.1421392541
Switzerland,94.1934326462,,,93.1581726269,,,94.3941854256,,93.994890079,93.994890079,93.994890079,93.606401065,93.606401065,93.606401065,91.9178578661,91.9178578661,91.9178578661,91.2504634678,91.2504634678
Thailand,88.5750039022,88.5750039022,86.7970568118,86.7970568118,86.7970568118,90.2046861265,90.2046861265,90.2046861265,89.9232845732,89.9232845732,89.9232845732,88.0270709591,88.0270709591,88.0270709591,87.023493242,87.023493242,87.023493242,87.7278218465,87.7278218465
Türkiye,79.8634462741,79.8634462741,72.6932139893,72.6932139893,72.6932139893,73.4126505667,73.4126505667,73.4126505667,85.6384075972,85.6384075972,85.6384075972,82.9640708716,82.9640708716,82.9640708716,80.3521333275,80.3521333275,80.3521333275,83.1781097249,83.1781097249
United Kingdom,97.2709451582,97.2709451582,95.5124777428,95.5124777428,95.5124777428,93.8450381876,93.8450381876,93.8450381876,93.2232276365,93.2232276365,93.2232276365,93.1860380662,93.1860380662,93.1860380662,88.0726183365,88.0726183365,88.0726183365,88.7610470659,88.7610470659
United States,95.4894367935,,92.6172276463,92.6172276463,92.6172276463,91.4648322336,91.4648322336,91.4648322336,89.9312029547,89.9312029547,89.9312029547,91.310941678,91.310941678,91.310941678,91.7846531329,91.7846531329,91.7846531329,89.9140420971,89.9140420971
