Reference area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Estonia,0.6584706886854986,0.6764317476570774,0.7080418836141039,0.6797409747754247,0.6491726804379219,0.6664233072267645,0.6708647940782881,0.6863031966897832,0.7130317634135209,0.7361291147101757,0.7408825310968628,0.7562807145300796,0.7623130691800291,0.7739220520504042,0.7853764888058851,0.7727945663147335,0.7596462302616501,0.7717562326200477,
Finland,0.8234470627767342,0.8260798018624465,0.828377974172597,0.8293777226813426,0.8244799035379379,0.8246211617521239,0.823218777187761,0.8218730998600409,0.827009734547194,0.8278194281465785,0.8256013103679504,0.8302267364775046,0.8340309817735556,0.8378458544329548,0.8361715748898572,0.8331984380877822,0.8223855927525245,0.8473343099399377,0.8580322555333657
France,0.7794658285514502,0.7880282274641153,0.7871874833228796,0.7811290314867594,0.7805360579234223,0.7852371564529054,0.7825306765616735,0.7688277084277994,0.7750005428775153,0.7716024444053919,0.7758704672640875,0.79434774070283,0.7886468213460834,0.7931545698006657,0.7769042707530738,0.7850431736786566,0.7801603185663049,0.8070451619756904,
Germany,0.7911357080421076,0.8046780664191019,0.8057736654203346,0.8022207871827338,0.8094812943684284,0.820293712502974,0.8245603069001342,0.8128123636463571,0.832766151553222,0.8358129667335203,0.8438548475127983,0.8396484899109788,0.8300383767207938,0.8338675870449354,0.8301737189346414,0.8246874200605089,0.814085178900617,0.8489023562109287,0.8741150517665568
Greece,0.6407327318302831,0.6478751150506369,0.6494476449192543,0.648010700491012,0.6207869164270926,0.5638860417864617,0.5268745041016774,0.5292097154035442,0.5422087974190534,0.5385208043775358,0.5418441327719024,0.535435252598959,0.5550452724009285,0.5641301855099754,0.5652243558393404,0.5600812883628367,0.5679523594045712,0.6094551848987233,
Hungary,0.6346990153882572,0.6244132836573447,0.6104956096632532,0.5845563296317914,0.5699927033196718,0.5770845868229125,0.5786128470345168,0.5959466435148553,0.6061228179295476,0.6116862126286031,0.629411954055209,0.6633759862525637,0.6791317657061969,0.6953776107861036,0.6947128617598562,0.6936529257379326,0.7177112187472072,0.7558940471140145,
Iceland,,,0.8763390729225787,0.8449652737744903,0.8185719343733449,0.8223003011394368,0.8300910569507437,0.8241391848028851,0.8492761747528464,0.8609514787292739,0.8803026767608634,0.8830229189281814,0.8765184266315568,0.8820240119457101,0.8806078299330291,,,,
Ireland,0.7779949767119427,0.7837589725770309,0.7825256054934937,0.7751332226309655,0.7478308898849624,0.744512908595627,0.742576455630137,0.7346885561418187,0.742677282006629,0.7596525654410895,0.7799988288095652,0.7970466968839041,0.8067422886740312,0.8204246207845052,0.8199589819128646,0.8131405249646022,0.8076993110463759,0.835308284662316,
Israel,,,,,,,,,,,,,,,,0.8324059392350519,,,
Italy,0.7306050554440863,0.73289350814903,0.7184110474231472,0.7173457988627989,0.7125220839458946,0.7175968872562987,0.6976291588596554,0.6856324070226519,0.6933256213225658,0.6981036887388106,0.715030799381152,0.7218061015584593,0.7190343171928605,0.7374819975679658,0.731540672192067,0.7352274037404936,0.7397995713561962,0.7699990354269827,0.7625677157339708
